Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,shares_outstanding,market_cap
2004-01-02 00:00:00-05:00,2.638000011444092,2.6565001010894775,2.571500062942505,2.5950000286102295,132798000,0.0,0.0,,10495599616,27236081303.801514
2004-01-05 00:00:00-05:00,2.5999999046325684,2.680000066757202,2.56850004196167,2.6635000705718994,225682000,0.0,0.0,0.026396933027532876,10495599616,27955030317.9104
2004-01-06 00:00:00-05:00,2.6554999351501465,2.674999952316284,2.63700008392334,2.6514999866485596,119710000,0.0,0.0,-0.004505381492542315,10495599616,27829082241.692627
2004-01-07 00:00:00-05:00,2.6089999675750732,2.632999897003174,2.546999931335449,2.5950000286102295,184854000,0.0,0.0,-0.021308677474196402,10495599616,27236081303.801514
2004-01-08 00:00:00-05:00,2.6045000553131104,2.6050000190734863,2.501499891281128,2.51200008392334,206406000,0.0,0.0,-0.031984564073912924,10495599616,26364947116.217773
2004-01-09 00:00:00-05:00,2.4885001182556152,2.6075000762939453,2.4549999237060547,2.5794999599456787,255584000,0.0,0.0,0.026870968856384403,10495599616,27073398789.07788
2004-01-12 00:00:00-05:00,2.5804998874664307,2.6514999866485596,2.5399999618530273,2.6475000381469727,189018000,0.0,0.0,0.02636172872928677,10495599616,27787100383.73535
2004-01-13 00:00:00-05:00,2.633500099182129,2.749500036239624,2.620500087738037,2.745500087738037,290446000,0.0,0.0,0.0370160710780032,10495599616,28815669666.59131
2004-01-14 00:00:00-05:00,2.7309999465942383,2.799499988555908,2.7074999809265137,2.7899999618530273,222682000,0.0,0.0,0.016208294552142233,10495599616,29282722528.26465
2004-01-15 00:00:00-05:00,2.7365000247955322,2.8389999866485596,2.7309999465942383,2.809000015258789,244346000,0.0,0.0,0.006810055077256072,10495599616,29482139481.49414
2004-01-16 00:00:00-05:00,2.813499927520752,2.81850004196167,2.7634999752044678,2.7860000133514404,182284000,0.0,0.0,-0.008187967882666514,10495599616,29240740670.307373
2004-01-20 00:00:00-05:00,2.7785000801086426,2.8420000076293945,2.7704999446868896,2.8304998874664307,154968000,0.0,0.0,0.015972675485187438,10495599616,29707793531.980713
2004-01-21 00:00:00-05:00,2.808000087738037,2.8469998836517334,2.7820000648498535,2.809999942779541,135672000,0.0,0.0,-0.007242517400429582,10495599616,29492634320.396973
